epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,534.497,1.66588,1.85409,1.92938,0.5664,0.50436,0.55186,0.23068,1.90268,2.31544,2.22779,0.000665613,0.000665613,0.000665613
2,1063.49,1.62552,1.71792,1.85766,0.74752,0.66103,0.73771,0.38961,1.5691,1.23942,1.86753,0.00126633,0.00126633,0.00126633
3,1595.47,1.55029,1.5727,1.78283,0.84398,0.71299,0.79983,0.45909,1.41638,1.09161,1.70661,0.00180105,0.00180105,0.00180105
4,2126.71,1.47684,1.41883,1.7236,0.82481,0.75347,0.84478,0.50643,1.3199,0.93704,1.61496,0.001703,0.001703,0.001703
5,2656.18,1.39995,1.29445,1.66096,0.85829,0.76737,0.86182,0.52183,1.35294,0.90014,1.61638,0.001604,0.001604,0.001604
6,3186.2,1.35583,1.22807,1.62963,0.85595,0.77549,0.87063,0.54176,1.25551,0.86209,1.5606,0.001505,0.001505,0.001505
7,3715.96,1.30583,1.14893,1.5896,0.85386,0.80137,0.88449,0.56957,1.19753,0.82264,1.49341,0.001406,0.001406,0.001406
8,4244.37,1.27836,1.10584,1.56855,0.8638,0.82394,0.89813,0.59663,1.11263,0.75308,1.4617,0.001307,0.001307,0.001307
9,4773.82,1.23242,1.04417,1.53515,0.87708,0.82347,0.90753,0.59943,1.15734,0.71174,1.4884,0.001208,0.001208,0.001208
10,5304.07,1.19397,0.99981,1.50675,0.89677,0.82296,0.90657,0.61963,1.08557,0.68176,1.41776,0.001109,0.001109,0.001109
11,5837.93,1.18122,0.84432,1.56217,0.88459,0.81975,0.89989,0.61577,1.09743,0.70132,1.42148,0.00101,0.00101,0.00101
12,6365.84,1.13165,0.7865,1.51512,0.9013,0.83142,0.9179,0.62423,1.0904,0.66341,1.41163,0.000911,0.000911,0.000911
13,6894.71,1.0866,0.73617,1.47999,0.88983,0.85407,0.91483,0.63116,1.06861,0.64435,1.40896,0.000812,0.000812,0.000812
14,7423.48,1.05347,0.69251,1.45447,0.88661,0.85921,0.92368,0.65495,1.00676,0.5937,1.38013,0.000713,0.000713,0.000713
15,7953.21,1.01096,0.6518,1.4132,0.90699,0.87372,0.928,0.6595,1.0022,0.57797,1.38345,0.000614,0.000614,0.000614
16,8484.98,0.99028,0.61835,1.39323,0.88661,0.86929,0.92379,0.65885,0.98883,0.58581,1.361,0.000515,0.000515,0.000515
17,9014.67,0.95041,0.59216,1.36893,0.91053,0.86087,0.92768,0.66207,1.00005,0.55678,1.37827,0.000416,0.000416,0.000416
18,9543.89,0.91029,0.54712,1.33258,0.90389,0.85076,0.92544,0.66281,0.99613,0.55133,1.38386,0.000317,0.000317,0.000317
19,10073.6,0.87382,0.52136,1.30387,0.92091,0.85257,0.93265,0.67721,0.96881,0.5327,1.36701,0.000218,0.000218,0.000218
20,10606.8,0.84022,0.49224,1.27443,0.91547,0.87029,0.93635,0.6765,0.96322,0.51894,1.36776,0.000119,0.000119,0.000119
